"model"	"Genus"	"estimate"	"std.error"	"statistic"	"p.value"	"p.adj.Bon"
"75 mg/kg versus 0 mg/kg"	"Negativibacillus"	-1.59096369119041	0.564370726056692	-2.81900463248088	0.00675915841875053	1
"75 mg/kg versus 0 mg/kg"	"Facklamia"	0.353111968785718	0.694807330388634	0.50821566402906	0.613410962191764	1
"75 mg/kg versus 0 mg/kg"	"Candidatus Stoquefichus"	-0.919569142062754	0.517529553705752	-1.77684372897782	0.0813330937492068	1
"75 mg/kg versus 0 mg/kg"	"Barnesiella"	-1.06614791764898	0.358522135173368	-2.97372968933546	0.00442034065769542	1
"75 mg/kg versus 0 mg/kg"	"Globicatella"	-0.00804791789084995	0.312243751168868	-0.0257744722215353	0.979534026145054	1
"75 mg/kg versus 0 mg/kg"	"Prevotellaceae Family"	-0.762714959648086	0.416727093145967	-1.83025047373373	0.0728381814013201	1
"75 mg/kg versus 0 mg/kg"	"Desulfovibrio"	-0.928949173185874	0.448939099695587	-2.06920977436755	0.0434178337883567	1
"75 mg/kg versus 0 mg/kg"	"Cerasicoccus"	-0.898790249344255	0.551443157508614	-1.62988739112284	0.109055002285556	1
"75 mg/kg versus 0 mg/kg"	"Parvimonas"	2.31648951761129	0.73824417271269	3.13783650888745	0.00277866775957576	1
"75 mg/kg versus 0 mg/kg"	"Incertae Sedis"	-1.02537130061605	0.702713566174464	-1.45915967753137	0.150422878313023	1
"75 mg/kg versus 0 mg/kg"	"Moraxella"	0.393248844472796	0.526243413598883	0.747275565471572	0.45819987374268	1
"75 mg/kg versus 0 mg/kg"	"Fastidiosipila"	2.51857585270124	0.820117586863076	3.07099359048587	0.00336267333873641	1
"75 mg/kg versus 0 mg/kg"	"Peptostreptococcaceae Family"	-1.99369952147813	0.762106106785552	-2.61603929390784	0.0115628699742711	1
"75 mg/kg versus 0 mg/kg"	"[Clostridium] innocuum group"	-1.15682041109063	0.609664805870009	-1.89746956024437	0.0632194385965527	1
"75 mg/kg versus 0 mg/kg"	"Blautia"	-0.489359271038814	0.499331351304544	-0.98002913247951	0.331524277627688	1
"75 mg/kg versus 0 mg/kg"	"Rothia"	2.00886959234897	0.594587065253697	3.37859618841831	0.00137253063919484	1
"75 mg/kg versus 0 mg/kg"	"Sutterella"	-0.290624804441823	0.837923129691834	-0.346839458350681	0.730085320716304	1
"75 mg/kg versus 0 mg/kg"	"Intestinimonas"	-1.4001486828114	0.725020525874369	-1.93118488765932	0.0588160252974284	1
"75 mg/kg versus 0 mg/kg"	"Erysipelotrichaceae Family"	-0.558330545232609	0.614124074734134	-0.909149418176321	0.367387154770378	1
"75 mg/kg versus 0 mg/kg"	"Parabacteroides"	-1.19149304728071	0.533569087041877	-2.23306236477527	0.0297908084297813	1
"75 mg/kg versus 0 mg/kg"	"NK4A214 group"	-3.58167672183251	1.10522528674058	-3.24067569282209	0.00206291368162749	1
"75 mg/kg versus 0 mg/kg"	"Oribacterium"	-2.25918275921472	0.923320705828306	-2.44680179373647	0.0177626293192993	1
"75 mg/kg versus 0 mg/kg"	"Gemella"	1.48368344652109	0.790001604236293	1.87807649828179	0.0658770087088761	1
"75 mg/kg versus 0 mg/kg"	"Lachnoclostridium"	-0.570095727686726	0.449377105435482	-1.26863545292157	0.210114953434958	1
"75 mg/kg versus 0 mg/kg"	"Christensenellaceae R-7 group"	-0.881231229490964	0.427167883604074	-2.06296227622708	0.0440305766177101	1
"75 mg/kg versus 0 mg/kg"	"Enorma"	-0.121781459089689	0.42989181626455	-0.283283966994026	0.778062766513739	1
"75 mg/kg versus 0 mg/kg"	"Proteus"	-1.48702760929784	0.71460260745335	-2.08091545397126	0.0422896880288526	1
